#ITitle	MINI-LIGNE.180614.16H																			
#IInfo	 																			
#IVersion	9																			
#IDate	02/00/2048																			
!Data	Type:	F-Freq.	Domain	S-Stream	Data	T-Time	Domain													
#ST																				
!--------------------------------------																				
!System	Section																			
#SNAME	MINI_LIGNE18061416H																			
#SGDflt	0																			
#SR50Hz																				
#SHiNse																				
#SMuxN	1																			
#SXcale	1																			
#SOffset	0																			
!TX	Section																			
#XMXVlt	480																			
#XCurMx	2500																			
#XPowMx	250																			
#XVTrgt	50																			
#XITrgt	30																			
#XBtVmn	9																			
#XTmpMx	70																			
#XLrRes	1																			
#XUpRes	200000																			
!TDIP	Section																			
#TFrequ	5																			
#TStcks	3																			
#TRDely	29.999																			
#TLngtR	59.999																			
#TChrg																				
#TIPDly	2.222																			
#TNResOnly																				
!ERTLab	Header	Info																		
Electrodes	input/output	format																		
178	1	7	1	9	1	23	1	25	-1.329151	0.000335	-0.017937	0.000004	13.49508	3276	20480200_211222	CH	7	GN	2	39.6
179	1	7	1	9	1	25	1	27	-0.463762	0.000167	-0.006258	0.000002	13.49508	3276	20480200_211222	CH	8	GN	3	39.6
180	1	8	1	9	1	10	1	11	-53.9664	0.104598	-0.883198	0.001711	16.36571	2620	20480200_211224	CH	1	GN	1	40.5
181	1	8	1	9	1	11	1	12	-41.61025	0.038533	-0.680981	0.00063	16.36571	2620	20480200_211224	CH	2	GN	1	40.5
182	1	8	1	9	1	12	1	13	-36.56773	0.03536	-0.598457	0.000578	16.36571	2620	20480200_211224	CH	3	GN	1	40.5
183	1	8	1	9	1	13	1	14	-5.205749	0.00442	-0.085195	0.000072	16.36571	2620	20480200_211224	CH	4	GN	3	40.5
184	1	8	1	9	1	14	1	15	-7.691937	0.007329	-0.125884	0.000119	16.36571	2620	20480200_211224	CH	5	GN	2	40.5
185	1	8	1	9	1	15	1	16	-5.157115	0.005063	-0.084399	0.000082	16.36571	2620	20480200_211224	CH	6	GN	3	40.5
186	1	8	1	9	1	16	1	17	-4.185327	0.004134	-0.068495	0.000067	16.36571	2620	20480200_211224	CH	7	GN	3	40.5
187	1	8	1	9	1	17	1	18	-1.050307	0.001033	-0.017189	0.000016	16.36571	2620	20480200_211224	CH	8	GN	4	40.5
188	1	6	1	10	1	14	1	18	-43.16646	0.029978	-0.208323	0.000144	4.826058	11232	20480200_211226	CH	1	GN	2	49.2
189	1	6	1	10	1	18	1	22	-5.900928	0.003747	-0.028478	0.000018	4.826058	11232	20480200_211226	CH	2	GN	3	49.2
190	1	6	1	10	1	22	1	26	-3.660337	0.002478	-0.017665	0.000011	4.826058	11232	20480200_211226	CH	3	GN	3	49.2
191	1	6	1	10	1	26	1	30	-1.340765	0.000811	-0.00647	0.000003	4.826058	11232	20480200_211226	CH	4	GN	4	49.2
192	1	7	1	10	1	13	1	16	-42.1881	0	-0.582258	0	13.80149	3276	20480200_211228	CH	1	GN	1	40.5
193	1	7	1	10	1	16	1	19	-12.68508	-0.000163	-0.175073	-0.000002	13.80149	3276	20480200_211228	CH	2	GN	2	40.5
194	1	7	1	10	1	19	1	22	-3.636135	0	-0.050184	0	13.80149	3276	20480200_211228	CH	3	GN	3	40.5
195	1	7	1	10	1	22	1	25	-2.804601	0.000655	-0.038707	0.000009	13.80149	3276	20480200_211228	CH	4	GN	3	40.5
196	1	7	1	10	1	25	1	28	-0.821813	0.000231	-0.011342	0.000003	13.80149	3276	20480200_211228	CH	5	GN	3	40.5
197	1	7	1	10	1	28	1	31	-0.785997	0.000231	-0.010847	0.000003	13.80149	3276	20480200_211228	CH	6	GN	2	40.5
198	1	8	1	10	1	12	1	14	-99.71459	0.033951	-1.699652	0.000578	17.04517	2952	20480200_211230	CH	1	GN	1	43
199	1	8	1	10	1	14	1	16	-26.34225	0.008487	-0.449008	0.000144	17.04517	2952	20480200_211230	CH	2	GN	2	43
200	1	8	1	10	1	16	1	18	-9.251369	-0.000033	-0.157691	0	17.04517	2952	20480200_211230	CH	3	GN	2	43
201	1	8	1	10	1	18	1	20	-2.302171	0.00053	-0.03924	0.000009	17.04517	2952	20480200_211230	CH	4	GN	3	43
202	1	8	1	10	1	20	1	22	-1.799974	0.00053	-0.03068	0.000009	17.04517	2952	20480200_211230	CH	5	GN	3	43
203	1	8	1	10	1	22	1	24	-1.466114	0	-0.02499	0	17.04517	2952	20480200_211230	CH	6	GN	3	43
204	1	8	1	10	1	24	1	26	-0.854798	0.000265	-0.01457	0.000004	17.04517	2952	20480200_211230	CH	7	GN	4	43
205	1	8	1	10	1	26	1	28	-0.343645	0	-0.005857	0	17.04517	2952	20480200_211230	CH	8	GN	4	43
206	1	9	1	10	1	11	1	12	-107.0882	0.137033	-2.78781	0.003567	26.03281	1859	20480200_211232	CH	1	GN	1	39
207	1	9	1	10	1	12	1	13	-52.01248	0.066689	-1.354031	0.001736	26.03281	1859	20480200_211232	CH	2	GN	1	39
208	1	9	1	10	1	13	1	14	-5.920358	0.007609	-0.154123	0.000198	26.03281	1859	20480200_211232	CH	3	GN	2	39
209	1	9	1	10	1	14	1	15	-8.252127	0.011789	-0.214826	0.000306	26.03281	1859	20480200_211232	CH	4	GN	2	39
210	1	9	1	10	1	15	1	16	-5.237403	0.007351	-0.136344	0.000191	26.03281	1859	20480200_211232	CH	5	GN	2	39
211	1	9	1	10	1	16	1	17	-3.335539	0.004912	-0.086833	0.000127	26.03281	1859	20480200_211232	CH	6	GN	3	39
212	1	9	1	10	1	17	1	18	-0.680429	0.001042	-0.017713	0.000027	26.03281	1859	20480200_211232	CH	7	GN	4	39
213	1	9	1	10	1	18	1	19	-0.511818	0.000746	-0.013324	0.000019	26.03281	1859	20480200_211232	CH	8	GN	3	39
214	1	7	1	11	1	15	1	19	-38.05173	0.012392	-0.444217	0.000144	11.67403	4434	20480200_211234	CH	1	GN	2	44.6
215	1	7	1	11	1	19	1	23	-6.172483	0	-0.072057	0	11.67403	4434	20480200_211234	CH	2	GN	2	44.6
216	1	7	1	11	1	23	1	27	-2.971158	0	-0.034685	0	11.67403	4434	20480200_211234	CH	3	GN	2	44.6
217	1	7	1	11	1	27	1	31	-1.228628	0.000474	-0.014343	0.000005	11.67403	4434	20480200_211234	CH	4	GN	2	44.6
218	1	8	1	11	1	14	1	17	-59.40947	0	-0.695465	0	11.7063	4239	20480200_211236	CH	1	GN	1	40
219	1	8	1	11	1	17	1	20	-5.857766	0.002184	-0.068572	0.000025	11.7063	4239	20480200_211236	CH	2	GN	3	40
220	1	8	1	11	1	20	1	23	-3.656295	0	-0.042801	0	11.7063	4239	20480200_211236	CH	3	GN	2	40
221	1	8	1	11	1	23	1	26	-2.096779	0	-0.024545	0	11.7063	4239	20480200_211236	CH	4	GN	2	40
222	1	8	1	11	1	26	1	29	-0.774482	0	-0.009066	0	11.7063	4239	20480200_211236	CH	5	GN	4	40
223	1	8	1	11	1	29	1	32	-0.539535	0	-0.006315	0	11.7063	4239	20480200_211236	CH	6	GN	3	40
224	1	9	1	11	1	13	1	15	-38.05023	0.016497	-0.577958	0.00025	15.18935	2952	20480200_211238	CH	1	GN	1	38.5
225	1	9	1	11	1	15	1	17	-20.73939	0.01347	-0.315017	0.000204	15.18935	2952	20480200_211238	CH	2	GN	2	38.5
226	1	9	1	11	1	17	1	19	-2.592352	0.001683	-0.039376	0.000025	15.18935	2952	20480200_211238	CH	3	GN	3	38.5
227	1	9	1	11	1	19	1	21	-1.730648	0.001113	-0.026287	0.000016	15.18935	2952	20480200_211238	CH	4	GN	3	38.5
228	1	9	1	11	1	21	1	23	-1.097118	0.000787	-0.016664	0.000011	15.18935	2952	20480200_211238	CH	5	GN	2	38.5
229	1	9	1	11	1	23	1	25	-0.91991	0.000631	-0.013972	0.000009	15.18935	2952	20480200_211238	CH	6	GN	2	38.5
230	1	9	1	11	1	25	1	27	-0.257174	0.000182	-0.003906	0.000002	15.18935	2952	20480200_211238	CH	7	GN	3	38.5
231	1	9	1	11	1	27	1	29	-0.246002	0.000166	-0.003736	0.000002	15.18935	2952	20480200_211238	CH	8	GN	4	38.5
232	1	10	1	11	1	12	1	13	-139.7703	0.112475	-2.690783	0.002165	19.25146	2430	20480200_211240	CH	1	GN	1	40.8
233	1	10	1	11	1	13	1	14	-10.51449	0.007515	-0.202419	0.000144	19.25146	2430	20480200_211240	CH	2	GN	2	40.8
234	1	10	1	11	1	14	1	15	-13.44268	0.011272	-0.258791	0.000217	19.25146	2430	20480200_211240	CH	3	GN	2	40.8
235	1	10	1	11	1	15	1	16	-7.938289	0.007029	-0.152823	0.000135	19.25146	2430	20480200_211240	CH	4	GN	2	40.8
236	1	10	1	11	1	16	1	17	-4.2626	0.004304	-0.082061	0.000082	19.25146	2430	20480200_211240	CH	5	GN	3	40.8
237	1	10	1	11	1	17	1	18	-0.797547	0.000878	-0.015353	0.000016	19.25146	2430	20480200_211240	CH	6	GN	4	40.8
238	1	10	1	11	1	18	1	19	-0.606169	0.000598	-0.011669	0.000011	19.25146	2430	20480200_211240	CH	7	GN	3	40.8
239	1	10	1	11	1	19	1	20	-0.428367	0.000371	-0.008246	0.000007	19.25146	2430	20480200_211240	CH	8	GN	3	40.8
240	1	8	1	12	1	16	1	20	-35.59492	-0.000458	-0.350779	-0.000004	9.85477	4861	20480200_211242	CH	1	GN	2	40.8
241	1	8	1	12	1	20	1	24	-8.255094	-0.000028	-0.081352	0	9.85477	4861	20480200_211242	CH	2	GN	3	40.8
242	1	8	1	12	1	24	1	28	-2.627329	0.000648	-0.025891	0.000006	9.85477	4861	20480200_211242	CH	3	GN	3	40.8
243	1	8	1	12	1	28	1	32	-1.356795	0.000561	-0.01337	0.000005	9.85477	4861	20480200_211242	CH	4	GN	3	40.8
244	1	9	1	12	1	15	1	18	-64.40752	-0.002843	-0.819386	-0.000036	12.7219	4056	20480200_211244	CH	1	GN	1	42.1
245	1	9	1	12	1	18	1	21	-7.023755	0	-0.089355	0	12.7219	4056	20480200_211244	CH	2	GN	3	42.1
246	1	9	1	12	1	21	1	24	-3.866068	-0.000005	-0.049183	0	12.7219	4056	20480200_211244	CH	3	GN	3	42.1
247	1	9	1	12	1	24	1	27	-1.589508	-0.000001	-0.020221	0	12.7219	4056	20480200_211244	CH	4	GN	3	42.1
248	1	9	1	12	1	27	1	30	-0.796887	0	-0.010137	0	12.7219	4056	20480200_211244	CH	5	GN	3	42.1
249	1	10	1	12	1	14	1	16	-97.17171	0.050504	-1.244872	0.000647	12.81106	3718	20480200_211246	CH	1	GN	1	40
250	1	10	1	12	1	16	1	18	-20.2084	0.018727	-0.258891	0.000239	12.81106	3718	20480200_211246	CH	2	GN	2	40
251	1	10	1	12	1	18	1	20	-3.831799	0.002231	-0.049089	0.000028	12.81106	3718	20480200_211246	CH	3	GN	3	40
252	1	10	1	12	1	20	1	22	-2.920735	0.000998	-0.037417	0.000012	12.81106	3718	20480200_211246	CH	4	GN	3	40
253	1	10	1	12	1	22	1	24	-2.067939	0.00132	-0.026492	0.000016	12.81106	3718	20480200_211246	CH	5	GN	3	40
254	1	10	1	12	1	24	1	26	-1.055258	0.00066	-0.013518	0.000008	12.81106	3718	20480200_211246	CH	6	GN	4	40
255	1	10	1	12	1	26	1	28	-0.373025	0.000249	-0.004778	0.000003	12.81106	3718	20480200_211246	CH	7	GN	4	40
256	1	10	1	12	1	28	1	30	-0.449444	0.000176	-0.005757	0.000002	12.81106	3718	20480200_211246	CH	8	GN	4	40
257	1	11	1	12	1	13	1	14	-41.50994	0.009217	-0.460723	0.000102	11.09911	4239	20480200_211248	CH	1	GN	2	40.5
258	1	11	1	12	1	14	1	15	-48.78405	0	-0.541459	0	11.09911	4239	20480200_211248	CH	2	GN	1	40.5
259	1	11	1	12	1	15	1	16	-27.05602	0.006517	-0.300297	0.000072	11.09911	4239	20480200_211248	CH	3	GN	2	40.5
260	1	11	1	12	1	16	1	17	-12.82701	0.008621	-0.142368	0.000095	11.09911	4239	20480200_211248	CH	4	GN	2	40.5
261	1	11	1	12	1	17	1	18	-2.336578	0.000997	-0.025933	0.000011	11.09911	4239	20480200_211248	CH	5	GN	3	40.5
262	1	11	1	12	1	18	1	19	-1.680631	0.000814	-0.018653	0.000009	11.09911	4239	20480200_211248	CH	6	GN	3	40.5
263	1	11	1	12	1	19	1	20	-1.132878	0.000498	-0.012573	0.000005	11.09911	4239	20480200_211248	CH	7	GN	3	40.5
264	1	11	1	12	1	20	1	21	-1.371058	0.000407	-0.015217	0.000004	11.09911	4239	20480200_211248	CH	8	GN	4	40.5
265	1	9	1	13	1	17	1	21	-34.08092	0.009856	-0.353732	0.000102	10.3792	5347	20480200_211250	CH	1	GN	2	49.5
266	1	9	1	13	1	21	1	25	-12.60698	0.004928	-0.13085	0.000051	10.3792	5347	20480200_211250	CH	2	GN	2	49.5
267	1	9	1	13	1	25	1	29	-2.765685	0	-0.028705	0	10.3792	5347	20480200_211250	CH	3	GN	3	49.5
268	1	10	1	13	1	16	1	19	-93.18946	0.221833	-0.97999	0.002332	10.51611	5616	20480200_211252	CH	1	GN	1	49.5
269	1	10	1	13	1	19	1	22	-14.75933	0.012869	-0.15521	0.000135	10.51611	5616	20480200_211252	CH	2	GN	2	49.5
270	1	10	1	13	1	22	1	25	-8.514151	0.008424	-0.089535	0.000088	10.51611	5616	20480200_211252	CH	3	GN	3	49.5
271	1	10	1	13	1	25	1	28	-1.796438	0.001719	-0.018891	0.000018	10.51611	5616	20480200_211252	CH	4	GN	3	49.5
272	1	10	1	13	1	28	1	31	-1.543906	0.001289	-0.016235	0.000013	10.51611	5616	20480200_211252	CH	5	GN	2	49.5
273	1	11	1	13	1	15	1	17	-274.4927	0.501963	-2.491787	0.004556	9.077792	6216	20480200_211254	CH	1	GN	1	50
274	1	11	1	13	1	17	1	19	-19.0521	0.021823	-0.17295	0.000198	9.077792	6216	20480200_211254	CH	2	GN	2	50
275	1	11	1	13	1	19	1	21	-10.70775	0.010911	-0.097202	0.000099	9.077792	6216	20480200_211254	CH	3	GN	2	50
276	1	11	1	13	1	21	1	23	-5.943671	0.006607	-0.053955	0.000059	9.077792	6216	20480200_211254	CH	4	GN	2	50
277	1	11	1	13	1	23	1	25	-4.624633	0.00498	-0.041981	0.000045	9.077792	6216	20480200_211254	CH	5	GN	2	50
278	1	11	1	13	1	25	1	27	-1.191602	0.001219	-0.010817	0.000011	9.077792	6216	20480200_211254	CH	6	GN	3	50
279	1	11	1	13	1	27	1	29	-1.073084	0.001026	-0.009741	0.000009	9.077792	6216	20480200_211254	CH	7	GN	4	50
280	1	11	1	13	1	29	1	31	-0.731822	0.000584	-0.006643	0.000005	9.077792	6216	20480200_211254	CH	8	GN	2	50
281	1	12	1	13	1	14	1	15	-542.7637	0.436663	-4.549363	0.00366	8.381848	6552	20480200_211256	CH	1	GN	1	49.5
282	1	12	1	13	1	15	1	16	-179.0443	0.23917	-1.500722	0.002004	8.381848	6552	20480200_211256	CH	2	GN	1	49.5
283	1	12	1	13	1	16	1	17	-55.75475	0.128008	-0.467327	0.001072	8.381848	6552	20480200_211256	CH	3	GN	1	49.5
284	1	12	1	13	1	17	1	18	-8.828405	0.008356	-0.073998	0.00007	8.381848	6552	20480200_211256	CH	4	GN	3	49.5
285	1	12	1	13	1	18	1	19	-6.210291	0.0055	-0.052053	0.000046	8.381848	6552	20480200_211256	CH	5	GN	3	49.5
286	1	12	1	13	1	19	1	20	-4.282378	0.003737	-0.035894	0.000031	8.381848	6552	20480200_211256	CH	6	GN	3	49.5
287	1	12	1	13	1	20	1	21	-3.919837	0.003051	-0.032855	0.000025	8.381848	6552	20480200_211256	CH	7	GN	3	49.5
288	1	12	1	13	1	21	1	22	-2.075541	0.001788	-0.017396	0.000014	8.381848	6552	20480200_211256	CH	8	GN	3	49.5
289	1	10	1	14	1	18	1	22	-28.81706	0	-0.353489	0	12.26666	3882	20480200_211258	CH	1	GN	2	41
290	1	10	1	14	1	22	1	26	-10.98806	0.002948	-0.134786	0.000036	12.26666	3882	20480200_211258	CH	2	GN	2	41
291	1	10	1	14	1	26	1	30	-2.66497	0.000737	-0.03269	0.000009	12.26666	3882	20480200_211258	CH	3	GN	3	41
292	1	11	1	14	1	17	1	20	-31.56407	0.019379	-0.333246	0.000204	10.55778	4861	20480200_211300	CH	1	GN	2	43.8
293	1	11	1	14	1	20	1	23	-13.60183	0.00766	-0.143605	0.00008	10.55778	4861	20480200_211300	CH	2	GN	1	43.8
294	1	11	1	14	1	23	1	26	-6.383091	0.004195	-0.067391	0.000044	10.55778	4861	20480200_211300	CH	3	GN	2	43.8
295	1	11	1	14	1	26	1	29	-1.885005	0.000741	-0.019901	0.000007	10.55778	4861	20480200_211300	CH	4	GN	3	43.8
296	1	11	1	14	1	29	1	32	-1.234721	0.000605	-0.013035	0.000006	10.55778	4861	20480200_211300	CH	5	GN	3	43.8
297	1	12	1	14	1	16	1	18	-91.34383	0.227091	-0.994409	0.002472	10.88645	5096	20480200_211302	CH	1	GN	1	50.5
298	1	12	1	14	1	18	1	20	-14.32097	0.007429	-0.155904	0.00008	10.88645	5096	20480200_211302	CH	2	GN	2	50.5
299	1	12	1	14	1	20	1	22	-7.729892	0.004069	-0.084151	0.000044	10.88645	5096	20480200_211302	CH	3	GN	2	50.5
300	1	12	1	14	1	22	1	24	-5.302501	0.002877	-0.057725	0.000031	10.88645	5096	20480200_211302	CH	4	GN	3	50.5
301	1	12	1	14	1	24	1	26	-2.560991	0.001438	-0.02788	0.000015	10.88645	5096	20480200_211302	CH	5	GN	3	50.5
302	1	12	1	14	1	26	1	28	-0.849579	0.000415	-0.009248	0.000004	10.88645	5096	20480200_211302	CH	6	GN	4	50.5
303	1	12	1	14	1	28	1	30	-0.992628	0.000415	-0.010806	0.000004	10.88645	5096	20480200_211302	CH	7	GN	4	50.5
304	1	12	1	14	1	30	1	32	-0.51763	0.000207	-0.005635	0.000002	10.88645	5096	20480200_211302	CH	8	GN	3	50.5
305	1	13	1	14	1	15	1	16	-121.878	0.148875	-1.160471	0.001417	9.521578	4861	20480200_211304	CH	1	GN	1	41.1
306	1	13	1	14	1	16	1	17	-23.83362	0.049235	-0.226933	0.000468	9.521578	4861	20480200_211304	CH	2	GN	2	41.1
307	1	13	1	14	1	17	1	18	-3.240579	0.003149	-0.030855	0.000029	9.521578	4861	20480200_211304	CH	3	GN	3	41.1
308	1	13	1	14	1	18	1	19	-2.258461	0.002227	-0.021504	0.000021	9.521578	4861	20480200_211304	CH	4	GN	3	41.1
309	1	13	1	14	1	19	1	20	-1.571768	0.001744	-0.014965	0.000016	9.521578	4861	20480200_211304	CH	5	GN	3	41.1
310	1	13	1	14	1	20	1	21	-1.145384	0	-0.010905	0	9.521578	4861	20480200_211304	CH	6	GN	4	41.1
311	1	13	1	14	1	21	1	22	-0.58163	0.000237	-0.005538	0.000002	9.521578	4861	20480200_211304	CH	7	GN	3	41.1
312	1	13	1	14	1	22	1	23	-0.645948	0.000375	-0.00615	0.000003	9.521578	4861	20480200_211304	CH	8	GN	2	41.1
313	1	11	1	15	1	19	1	23	-28.4872	0	-0.313869	0	11.01792	4434	20480200_211306	CH	1	GN	1	41
314	1	11	1	15	1	23	1	27	-9.213226	0	-0.10151	0	11.01792	4434	20480200_211306	CH	2	GN	2	41
315	1	11	1	15	1	27	1	31	-2.748911	-0.000003	-0.030287	0	11.01792	4434	20480200_211306	CH	3	GN	2	41
316	1	12	1	15	1	18	1	21	-29.60231	0.019046	-0.275399	0.000177	9.303325	4861	20480200_211308	CH	1	GN	2	40
317	1	12	1	15	1	21	1	24	-11.39819	0.006733	-0.106041	0.000062	9.303325	4861	20480200_211308	CH	2	GN	2	40
318	1	12	1	15	1	24	1	27	-4.24228	0.002571	-0.039467	0.000023	9.303325	4861	20480200_211308	CH	3	GN	3	40
319	1	12	1	15	1	27	1	30	-1.887472	0.000841	-0.017559	0.000007	9.303325	4861	20480200_211308	CH	4	GN	3	40
320	1	13	1	15	1	17	1	19	-17.48955	0.02196	-0.17283	0.000217	9.881907	5616	20480200_211310	CH	1	GN	2	50.5
321	1	13	1	15	1	19	1	21	-8.17671	0.008776	-0.080801	0.000086	9.881907	5616	20480200_211310	CH	2	GN	3	50.5
322	1	13	1	15	1	21	1	23	-3.650103	0.003772	-0.036069	0.000037	9.881907	5616	20480200_211310	CH	3	GN	2	50.5
323	1	13	1	15	1	23	1	25	-2.746853	0.002893	-0.027144	0.000028	9.881907	5616	20480200_211310	CH	4	GN	2	50.5
324	1	13	1	15	1	25	1	27	-0.647064	0.000686	-0.006394	0.000006	9.881907	5616	20480200_211310	CH	5	GN	3	50.5
325	1	13	1	15	1	27	1	29	-0.561591	0.000485	-0.005549	0.000004	9.881907	5616	20480200_211310	CH	6	GN	4	50.5
326	1	13	1	15	1	29	1	31	-0.379267	0.000361	-0.003747	0.000003	9.881907	5616	20480200_211310	CH	7	GN	2	50.5
327	1	14	1	15	1	16	1	17	-62.83037	0.222376	-0.74481	0.002636	11.8543	4056	20480200_211312	CH	1	GN	1	40.1
328	1	14	1	15	1	17	1	18	-7.222854	0.006472	-0.085621	0.000076	11.8543	4056	20480200_211312	CH	2	GN	3	40.1
329	1	14	1	15	1	18	1	19	-4.756617	0.004447	-0.056386	0.000052	11.8543	4056	20480200_211312	CH	3	GN	3	40.1
330	1	14	1	15	1	19	1	20	-3.118739	0.002954	-0.03697	0.000035	11.8543	4056	20480200_211312	CH	4	GN	3	40.1
331	1	14	1	15	1	20	1	21	-2.33883	0.001427	-0.027725	0.000016	11.8543	4056	20480200_211312	CH	5	GN	3	40.1
332	1	14	1	15	1	21	1	22	-1.168508	0.000809	-0.013851	0.000009	11.8543	4056	20480200_211312	CH	6	GN	3	40.1
333	1	14	1	15	1	22	1	23	-1.259308	0.001044	-0.014928	0.000012	11.8543	4056	20480200_211312	CH	7	GN	2	40.1
334	1	14	1	15	1	23	1	24	-1.002047	0.000809	-0.011878	0.000009	11.8543	4056	20480200_211312	CH	8	GN	2	40.1
335	1	12	1	16	1	20	1	24	-24.1645	0.013646	-0.286432	0.000161	11.85342	4056	20480200_211314	CH	1	GN	2	39
336	1	12	1	16	1	24	1	28	-5.95772	0.003051	-0.070619	0.000036	11.85342	4056	20480200_211314	CH	2	GN	3	39
337	1	12	1	16	1	28	1	32	-2.544846	0.001525	-0.030165	0.000018	11.85342	4056	20480200_211314	CH	3	GN	3	39
338	1	13	1	16	1	19	1	22	-16.43612	0.010191	-0.184454	0.000114	11.22248	5096	20480200_211316	CH	1	GN	2	50
339	1	13	1	16	1	22	1	25	-7.375198	0.004557	-0.082768	0.000051	11.22248	5096	20480200_211316	CH	2	GN	3	50
340	1	13	1	16	1	25	1	28	-1.364016	0.000986	-0.015307	0.000011	11.22248	5096	20480200_211316	CH	3	GN	3	50
341	1	13	1	16	1	28	1	31	-1.109616	0.000753	-0.012452	0.000008	11.22248	5096	20480200_211316	CH	4	GN	2	50
342	1	14	1	16	1	18	1	20	-16.32445	0.012047	-0.207929	0.000153	12.73727	3276	20480200_211318	CH	1	GN	2	38.1
343	1	14	1	16	1	20	1	22	-6.86697	0.002007	-0.087466	0.000025	12.73727	3276	20480200_211318	CH	2	GN	2	38.1
344	1	14	1	16	1	22	1	24	-4.293443	0.002656	-0.054686	0.000033	12.73727	3276	20480200_211318	CH	3	GN	3	38.1
345	1	14	1	16	1	24	1	26	-1.947292	0.001419	-0.024803	0.000018	12.73727	3276	20480200_211318	CH	4	GN	3	38.1
346	1	14	1	16	1	26	1	28	-0.603732	0.000434	-0.007689	0.000005	12.73727	3276	20480200_211318	CH	5	GN	4	38.1
347	1	14	1	16	1	28	1	30	-0.682423	0.000354	-0.008692	0.000004	12.73727	3276	20480200_211318	CH	6	GN	4	38.1
348	1	14	1	16	1	30	1	32	-0.351583	0.000234	-0.004478	0.000002	12.73727	3276	20480200_211318	CH	7	GN	3	38.1
349	1	15	1	16	1	17	1	18	-11.95232	0.013192	-0.207255	0.000228	17.34017	2673	20480200_211320	CH	1	GN	2	40.5
350	1	15	1	16	1	18	1	19	-5.301254	0.006758	-0.091924	0.000117	17.34017	2673	20480200_211320	CH	2	GN	2	40.5
351	1	15	1	16	1	19	1	20	-3.15976	0.003902	-0.05479	0.000067	17.34017	2673	20480200_211320	CH	3	GN	3	40.5
352	1	15	1	16	1	20	1	21	-2.276144	0.002389	-0.039468	0.000041	17.34017	2673	20480200_211320	CH	4	GN	3	40.5
353	1	15	1	16	1	21	1	22	-1.107713	0.001166	-0.019207	0.00002	17.34017	2673	20480200_211320	CH	5	GN	3	40.5
354	1	15	1	16	1	22	1	23	-1.144212	0.001329	-0.01984	0.000023	17.34017	2673	20480200_211320	CH	6	GN	2	40.5
355	1	15	1	16	1	23	1	24	-0.894696	0.000975	-0.015514	0.000016	17.34017	2673	20480200_211320	CH	7	GN	2	40.5
356	1	15	1	16	1	24	1	25	-0.701805	0.000803	-0.012169	0.000013	17.34017	2673	20480200_211320	CH	8	GN	3	40.5
357	1	13	1	17	1	21	1	25	-44.14854	-0.000995	-0.400977	-0.000009	9.082457	6216	20480200_211322	CH	1	GN	2	50
358	1	13	1	17	1	25	1	29	-5.505749	0	-0.050005	0	9.082457	6216	20480200_211322	CH	2	GN	3	50
359	1	14	1	17	1	20	1	23	-55.71063	0.016652	-0.484015	0.000144	8.688034	4641	20480200_211324	CH	1	GN	1	35.5
360	1	14	1	17	1	23	1	26	-17.67456	-0.000065	-0.153557	0	8.688034	4641	20480200_211324	CH	2	GN	1	35.5
361	1	14	1	17	1	26	1	29	-3.409787	-0.000002	-0.029624	0	8.688034	4641	20480200_211324	CH	3	GN	3	35.5
362	1	14	1	17	1	29	1	32	-1.993265	-0.000002	-0.017317	0	8.688034	4641	20480200_211324	CH	4	GN	3	35.5
363	1	15	1	17	1	19	1	21	-71.40348	0.061347	-0.824937	0.000708	11.55319	4239	20480200_211326	CH	1	GN	1	41
364	1	15	1	17	1	21	1	23	-23.54468	0.021689	-0.272016	0.00025	11.55319	4239	20480200_211326	CH	2	GN	1	41
365	1	15	1	17	1	23	1	25	-14.20648	0.013282	-0.16413	0.000153	11.55319	4239	20480200_211326	CH	3	GN	1	41
366	1	15	1	17	1	25	1	27	-2.427885	0.001995	-0.028049	0.000023	11.55319	4239	20480200_211326	CH	4	GN	3	41
367	1	15	1	17	1	27	1	29	-1.871265	0.001565	-0.021619	0.000018	11.55319	4239	20480200_211326	CH	5	GN	3	41
368	1	15	1	17	1	29	1	31	-1.181009	0.001035	-0.013644	0.000011	11.55319	4239	20480200_211326	CH	6	GN	2	41
369	1	16	1	17	1	18	1	19	-87.45737	0.128903	-1.388174	0.002046	15.87258	2673	20480200_211328	CH	1	GN	1	38.5
370	1	16	1	17	1	19	1	20	-40.79998	0.057647	-0.647601	0.000915	15.87258	2673	20480200_211328	CH	2	GN	1	38.5
371	1	16	1	17	1	20	1	21	-25.11063	0.035885	-0.39857	0.000569	15.87258	2673	20480200_211328	CH	3	GN	2	38.5
372	1	16	1	17	1	21	1	22	-10.92317	0.016112	-0.173379	0.000255	15.87258	2673	20480200_211328	CH	4	GN	2	38.5
373	1	16	1	17	1	22	1	23	-10.34947	0.015622	-0.164272	0.000247	15.87258	2673	20480200_211328	CH	5	GN	1	38.5
374	1	16	1	17	1	23	1	24	-7.375876	0.010688	-0.117074	0.000169	15.87258	2673	20480200_211328	CH	6	GN	2	38.5
375	1	16	1	17	1	24	1	25	-5.222419	0.007975	-0.082893	0.000126	15.87258	2673	20480200_211328	CH	7	GN	2	38.5
376	1	16	1	17	1	25	1	26	-1.214892	0.001801	-0.019283	0.000028	15.87258	2673	20480200_211328	CH	8	GN	3	38.5
377	1	14	1	18	1	22	1	26	-73.19758	0	-0.765309	0	10.45539	5347	20480200_211330	CH	1	GN	1	49.5
